,session_name,timestamp,27261,27160,27226,27263
0,f-formation,1630387593,0,0,-1,0
1,f-formation,1630387594,1,0,-1,0
2,f-formation,1630387595,1,0,-1,0
3,f-formation,1630387596,1,0,-1,0
4,f-formation,1630387597,1,0,-1,0
5,f-formation,1630387598,1,0,-1,0
6,f-formation,1630387599,1,0,-1,0
7,f-formation,1630387600,1,0,-1,0
8,f-formation,1630387601,1,0,-1,0
9,f-formation,1630387602,1,0,-1,0
10,f-formation,1630387603,1,0,-1,0
11,f-formation,1630387604,1,0,-1,0
12,f-formation,1630387605,1,0,-1,0
13,f-formation,1630387606,1,0,-1,0
14,f-formation,1630387607,1,0,-1,0
15,f-formation,1630387608,1,0,-1,0
16,f-formation,1630387609,1,0,-1,0
17,f-formation,1630387610,1,0,-1,0
18,f-formation,1630387611,1,0,-1,0
19,f-formation,1630387612,1,0,-1,0
20,f-formation,1630387613,1,0,-1,0
21,f-formation,1630387614,1,0,-1,0
22,f-formation,1630387615,1,0,-1,0
23,f-formation,1630387616,1,0,-1,0
24,f-formation,1630387617,1,0,-1,0
25,f-formation,1630387618,1,0,-1,0
26,f-formation,1630387619,1,0,-1,0
27,f-formation,1630387620,1,0,-1,0
28,f-formation,1630387621,1,0,-1,0
29,f-formation,1630387622,1,0,-1,0
30,f-formation,1630387623,1,0,-1,0
31,f-formation,1630387624,1,0,-1,0
32,f-formation,1630387625,1,0,-1,0
33,f-formation,1630387626,1,0,-1,0
34,f-formation,1630387627,1,0,-1,0
35,f-formation,1630387628,1,0,-1,0
36,f-formation,1630387629,1,0,-1,0
37,f-formation,1630387630,1,0,-1,0
38,f-formation,1630387631,1,0,-1,0
39,f-formation,1630387632,1,0,-1,0
40,f-formation,1630387633,1,0,-1,0
41,f-formation,1630387634,1,0,-1,0
42,f-formation,1630387635,1,0,-1,0
43,f-formation,1630387636,1,0,-1,0
44,f-formation,1630387637,1,0,-1,0
45,f-formation,1630387638,1,0,-1,0
46,f-formation,1630387639,1,0,-1,0
47,f-formation,1630387640,1,0,-1,0
48,f-formation,1630387641,1,0,-1,0
49,f-formation,1630387642,1,0,-1,0
50,f-formation,1630387643,1,0,-1,0
51,f-formation,1630387644,1,0,-1,0
52,f-formation,1630387645,1,0,-1,0
53,f-formation,1630387646,1,0,-1,0
54,f-formation,1630387647,1,0,-1,0
55,f-formation,1630387648,0,0,-1,0
56,f-formation,1630387649,0,0,-1,0
57,f-formation,1630387650,0,0,-1,0
58,f-formation,1630387651,0,0,-1,0
59,f-formation,1630387652,0,0,-1,0
60,f-formation,1630387653,0,0,-1,0
61,f-formation,1630387654,0,0,-1,0
62,f-formation,1630387655,1,0,-1,0
63,f-formation,1630387656,1,0,-1,0
64,f-formation,1630387657,1,0,-1,0
65,f-formation,1630387658,1,0,-1,0
66,f-formation,1630387659,0,0,-1,0
67,f-formation,1630387660,0,0,-1,0
68,f-formation,1630387661,0,0,-1,0
69,f-formation,1630387662,0,0,-1,0
70,f-formation,1630387663,0,0,-1,0
71,f-formation,1630387664,1,0,-1,0
72,f-formation,1630387665,1,0,-1,0
73,f-formation,1630387666,1,0,-1,0
74,f-formation,1630387667,1,0,-1,0
75,f-formation,1630387668,1,0,-1,0
76,f-formation,1630387669,0,0,-1,0
77,f-formation,1630387670,0,0,-1,0
78,f-formation,1630387671,0,0,-1,0
79,f-formation,1630387672,1,0,-1,0
80,f-formation,1630387673,1,0,-1,0
81,f-formation,1630387674,1,0,-1,0
82,f-formation,1630387675,1,0,-1,0
83,f-formation,1630387676,1,0,-1,0
84,f-formation,1630387677,1,0,-1,0
85,f-formation,1630387678,1,0,-1,0
86,f-formation,1630387679,1,0,-1,0
87,f-formation,1630387680,1,0,-1,0
88,f-formation,1630387681,1,0,-1,0
89,f-formation,1630387682,1,0,-1,0
90,f-formation,1630387683,1,0,-1,0
91,f-formation,1630387684,1,0,-1,0
92,f-formation,1630387685,1,0,-1,0
93,f-formation,1630387686,1,0,-1,0
94,f-formation,1630387687,1,0,-1,0
95,f-formation,1630387688,1,0,-1,0
96,f-formation,1630387689,1,0,-1,0
97,f-formation,1630387690,1,0,-1,0
98,f-formation,1630387691,1,0,-1,0
99,f-formation,1630387692,1,0,-1,0
100,f-formation,1630387693,1,0,-1,0
101,f-formation,1630387694,1,0,-1,0
102,f-formation,1630387695,1,0,-1,0
103,f-formation,1630387696,1,0,-1,0
104,f-formation,1630387697,1,0,-1,0
105,f-formation,1630387698,1,0,-1,0
106,f-formation,1630387699,1,0,-1,0
107,f-formation,1630387700,1,0,-1,0
108,f-formation,1630387701,1,0,-1,0
109,f-formation,1630387702,1,0,-1,0
110,f-formation,1630387703,1,0,-1,0
