,timestamp,x,y,yaw,session_name
0,1630388330,-783.2564808316974,3433.144267179879,5.1448133152220645,interpolation
1,1630388331,-708.7633190383357,3266.2418667061447,5.890216408863235,interpolation
2,1630388332,-411.4450453096276,2736.84100824864,5.6755313750462415,interpolation
3,1630388333,3.363300157395969,2056.703387490101,4.583563441777998,interpolation
4,1630388334,385.9750233304284,1335.4306058769992,3.8038175130897742,interpolation
5,1630388335,803.3620730693541,676.7874300338499,3.693541281464223,interpolation
6,1630388336,1328.9829674410885,242.06455031380986,5.933556664082786,interpolation
7,1630388337,1644.8261436524701,118.56641532857603,2.8818460887013346,interpolation
8,1630388338,1955.813313454519,199.4166444804898,3.4153295159863655,interpolation
9,1630388339,2147.7276499037102,452.2441441924626,3.4995040115676628,interpolation
10,1630388340,2291.6666462686294,658.0833133988879,0.6298333008819105,interpolation
11,1630388341,2636.590244859526,1009.6863681649647,1.0903828250956287,interpolation
12,1630388342,2779.650339253696,1146.520516625132,1.0795174513479409,interpolation
13,1630388343,2897.4818927637284,1257.0911311116154,1.0283845206514095,interpolation
14,1630388344,3014.2109815419076,1376.3170987941407,0.9971735343470836,interpolation
15,1630388345,3133.6212028395526,1495.4740914675397,0.9990005955494817,interpolation
16,1630388346,3254.526510755959,1614.5926214344422,1.019250745643855,interpolation
17,1630388347,3673.225089418824,1989.4581582595638,1.0448306772463705,interpolation
18,1630388348,3999.7038336562373,2280.868368140837,1.0567952464493295,interpolation
19,1630388349,4118.274202968215,2422.7762158264736,1.0579375040557593,interpolation
20,1630388350,4119.681541470322,2425.363082940644,1.065363082940644,interpolation
21,1630388351,4132.4789762387845,2421.0840950448614,1.1174881167771222,interpolation
22,1630388352,4144.976380129403,2418.1653536433464,1.1098425244965753,interpolation
23,1630388353,4153.658521548553,2414.1056810323685,1.106064749938684,interpolation
24,1630388354,4151.93987339671,2413.0,1.06979113776973,interpolation
25,1630388355,4151.3069619737435,2413.0,1.0254873381620644,interpolation
26,1630388356,4152.536396385939,2412.078162168437,0.999083531564996,interpolation
27,1630388357,4155.519689731529,2410.2881861610826,0.989536992859108,interpolation
28,1630388358,4156.50390390743,2411.00780781486,0.99102342344458,interpolation
29,1630388359,4154.372482653647,2414.91946371817,0.996335570974536,interpolation
30,1630388360,4150.627273104464,2421.6246752707907,1.005377922562882,interpolation
31,1630388361,4154.571963766345,2421.0237797907585,1.0093354146468971,interpolation
32,1630388362,4143.3078840157805,2421.6495619991233,0.9655306600613681,interpolation
33,1630388363,4140.702265670812,2420.8608413320576,0.9469805830066973,interpolation
34,1630388364,4149.116504737508,2418.271844696151,0.9605728153452053,interpolation
35,1630388365,4163.128187840987,2407.725766037488,0.9431639044020613,interpolation
36,1630388366,4175.7758905784185,2397.224109421582,0.9206723282647459,interpolation
37,1630388367,4175.569230509651,2394.076923725873,1.04713846945565,interpolation
38,1630388368,4183.816361167144,2398.0,1.077821367957497,interpolation
39,1630388369,4187.5,2412.0,1.024,interpolation
40,1630388370,4169.459731459054,2392.2181202133766,1.596238259384232,interpolation
41,1630388371,4172.103161049153,2243.1780399456197,1.6609084968642605,interpolation
42,1630388372,4316.161538034891,2022.1276421517914,0.5793231635027736,interpolation
43,1630388373,4491.922963258786,1847.3601182108625,5.577621452076677,interpolation
44,1630388374,4669.838931436652,1670.4395922881986,5.6887751704632965,interpolation
45,1630388375,4834.215987835783,1478.0714266599089,5.845494898732894,interpolation
46,1630388376,5008.199992908573,1279.3794928162624,5.8812803428501095,interpolation
47,1630388377,5142.066341256624,1174.5232446267507,5.855677617759625,interpolation
48,1630388378,5222.041535084407,1113.76689582735,5.8314990707884355,interpolation
49,1630388379,5402.923076923077,1070.6923076923076,5.826076923076923,interpolation
50,1630388380,5520.217242927189,1125.832758799291,5.641120686678484,interpolation
51,1630388381,5549.8690482031225,1130.964285873579,5.648476192812492,interpolation
52,1630388382,5605.7030192355005,1123.9916109456537,5.614246646438422,interpolation
53,1630388383,5606.998130976619,1111.9931469142693,5.18073646770327,interpolation
54,1630388384,5585.635752658991,1095.6576735007973,4.605075903960322,interpolation
55,1630388385,5432.142604323137,1107.22651166791,5.280573893163667,interpolation
56,1630388386,5233.6488158411985,1171.0351256720971,2.240487650476797,interpolation
57,1630388387,5034.134697850774,1304.103635903944,0.6765768440791895,interpolation
58,1630388388,4752.952390827922,1431.9523741764624,0.4997619299193048,interpolation
59,1630388389,4580.576573397552,1546.607466551211,1.871348888124163,interpolation
60,1630388390,4467.963970874887,1615.4620292364975,5.795415460599646,interpolation
61,1630388391,4244.823100343437,1799.3809071511257,6.0460309644008285,interpolation
62,1630388392,4143.467388602422,1944.6359080538534,5.83750934088269,interpolation
63,1630388393,3952.731207627481,2330.4791722141754,1.480302847608392,interpolation
64,1630388394,3883.5023551793925,2883.4191665378507,6.125817893823984,interpolation
65,1630388395,3930.9189151310416,3454.395218660442,3.1930853276725033,interpolation
66,1630388396,3946.1641979417705,3779.018010198113,0.645041827646546,interpolation
67,1630388397,3957.225751367618,4060.207344091942,0.9610886211706995,interpolation
68,1630388398,4012.0049948884807,4634.71384061343,1.002400988266713,interpolation
69,1630388399,4053.87323783907,5176.281677108203,0.9252112682782863,interpolation
70,1630388400,4127.7632097875885,5650.454883051042,0.8715264195751763,interpolation
71,1630388401,4207.277127975456,5996.19198388147,0.9951619359748574,interpolation
72,1630388402,4271.351171400617,6173.916399608643,0.9319565145279831,interpolation
73,1630388403,4253.014975144569,6267.26622267658,0.9299334443308552,interpolation
74,1630388404,4245.486110830054,6298.314814440071,0.9312870361001785,interpolation
