,session_name,timestamp,27261,27160,27226,27263
0,f-formation,1630388330,0,-1,0,0
1,f-formation,1630388331,0,-1,0,0
2,f-formation,1630388332,0,-1,0,0
3,f-formation,1630388333,0,-1,0,0
4,f-formation,1630388334,0,-1,0,0
5,f-formation,1630388335,0,-1,0,0
6,f-formation,1630388336,0,-1,0,0
7,f-formation,1630388337,0,-1,0,0
8,f-formation,1630388338,0,-1,0,0
9,f-formation,1630388339,0,-1,0,0
10,f-formation,1630388340,0,-1,0,0
11,f-formation,1630388341,0,-1,0,0
12,f-formation,1630388342,0,-1,0,0
13,f-formation,1630388343,0,-1,0,0
14,f-formation,1630388344,0,-1,0,0
15,f-formation,1630388345,0,-1,0,0
16,f-formation,1630388346,0,-1,0,0
17,f-formation,1630388347,0,-1,0,0
18,f-formation,1630388348,0,-1,0,1
19,f-formation,1630388349,0,-1,0,1
20,f-formation,1630388350,0,-1,0,1
21,f-formation,1630388351,0,-1,0,1
22,f-formation,1630388352,0,-1,0,1
23,f-formation,1630388353,0,-1,0,1
24,f-formation,1630388354,0,-1,0,1
25,f-formation,1630388355,0,-1,0,1
26,f-formation,1630388356,0,-1,0,1
27,f-formation,1630388357,0,-1,0,1
28,f-formation,1630388358,0,-1,0,1
29,f-formation,1630388359,0,-1,0,1
30,f-formation,1630388360,0,-1,0,1
31,f-formation,1630388361,0,-1,0,1
32,f-formation,1630388362,0,-1,0,1
33,f-formation,1630388363,0,-1,0,1
34,f-formation,1630388364,0,-1,0,1
35,f-formation,1630388365,0,-1,0,1
36,f-formation,1630388366,0,-1,0,0
37,f-formation,1630388367,0,-1,0,1
38,f-formation,1630388368,0,-1,1,1
39,f-formation,1630388369,0,-1,0,1
40,f-formation,1630388370,0,-1,0,0
41,f-formation,1630388371,0,-1,1,0
42,f-formation,1630388372,0,-1,1,1
43,f-formation,1630388373,0,-1,1,1
44,f-formation,1630388374,0,-1,1,1
45,f-formation,1630388375,0,-1,1,1
46,f-formation,1630388376,0,-1,1,1
47,f-formation,1630388377,0,-1,1,1
48,f-formation,1630388378,0,-1,1,1
49,f-formation,1630388379,0,-1,1,1
50,f-formation,1630388380,0,-1,1,1
51,f-formation,1630388381,0,-1,1,1
52,f-formation,1630388382,0,-1,1,1
53,f-formation,1630388383,0,-1,1,1
54,f-formation,1630388384,0,-1,1,1
55,f-formation,1630388385,0,-1,1,1
56,f-formation,1630388386,0,-1,0,0
57,f-formation,1630388387,0,-1,1,1
58,f-formation,1630388388,0,-1,1,1
59,f-formation,1630388389,0,-1,0,0
60,f-formation,1630388390,0,-1,1,0
61,f-formation,1630388391,1,-1,1,0
62,f-formation,1630388392,0,-1,0,0
63,f-formation,1630388393,0,-1,0,0
64,f-formation,1630388394,0,-1,0,0
65,f-formation,1630388395,0,-1,0,0
66,f-formation,1630388396,0,-1,0,0
67,f-formation,1630388397,0,-1,0,0
68,f-formation,1630388398,0,-1,0,0
69,f-formation,1630388399,0,-1,0,0
