,session,voice_start,voice_end
0,disscusion_27226,1.77,2.88
1,disscusion_27226,3.66,4.41
2,disscusion_27226,8.4,12.81
3,disscusion_27226,13.35,20.16
4,disscusion_27226,21.54,22.62
5,disscusion_27226,24.18,25.38
6,disscusion_27226,27.18,27.51
7,disscusion_27226,27.99,31.26
8,disscusion_27226,33.3,33.72
9,disscusion_27226,34.11,35.94
10,disscusion_27226,36.24,39.27
11,disscusion_27226,40.23,47.37
12,disscusion_27226,47.82,48.36
13,disscusion_27226,48.87,52.08
14,disscusion_27226,52.5,53.04
