,session,voice_start,voice_end
0,disscusion_27261,1.56,2.76
1,disscusion_27261,3.63,4.08
2,disscusion_27261,4.53,5.37
3,disscusion_27261,5.91,6.75
4,disscusion_27261,7.98,9.96
5,disscusion_27261,13.89,14.22
6,disscusion_27261,17.61,18.0
7,disscusion_27261,21.75,24.45
8,disscusion_27261,25.11,28.29
9,disscusion_27261,30.69,34.11
10,disscusion_27261,50.82,51.3
11,disscusion_27261,52.77,53.22
