,session,voice_start,voice_end
0,handover_27226,1.68,2.52
1,handover_27226,3.21,7.08
2,handover_27226,7.8,15.54
3,handover_27226,15.87,18.54
4,handover_27226,19.17,20.16
5,handover_27226,20.7,21.3
6,handover_27226,22.5,23.85
7,handover_27226,24.39,26.19
8,handover_27226,26.91,28.68
9,handover_27226,29.01,32.97
10,handover_27226,33.72,34.47
11,handover_27226,36.69,39.66
