,device_id,session_name,speaking_time_duration,overlapped_count,overlapped_duration,connected_count,connected_duration,to_other_count,to_other_duration
0,27261,feature_extraction_separate,4.41,0,0,0,0,3,4.41
1,27226,feature_extraction_separate,7.68,0,0,0,0,1,7.68
